filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
RadioButton:Optimize for compatibility (application restart required).png,RadioButton,Optimize for compatibility (application restart required),Radio Button,False,False,"[631,268]","[1099,299]"
CheckBox:Show Mini Toolbar on selection.png,CheckBox,Show Mini Toolbar on selection,CheckBox,False,False,"[603,304]","[884,335]"
CheckBox:Enable Live Preview.png,CheckBox,Enable Live Preview,CheckBox,False,False,"[603,340]","[787,371]"
CheckBox:Update document content while dragging.png,CheckBox,Update document content while dragging,CheckBox,False,False,"[603,376]","[967,407]"
CheckBox:Collapse the ribbon automatically.png,CheckBox,Collapse the ribbon automatically,CheckBox,False,False,"[603,412]","[900,443]"
Group:.png,Group,,Group,False,False,"[603,448]","[1544,479]"
CheckBox:Collapse the Microsoft Search box by default.png,CheckBox,Collapse the Microsoft Search box by default,CheckBox,False,False,"[603,448]","[990,479]"
Text:ScreenTip style.png,Text,ScreenTip style,Text,False,False,"[603,488]","[726,513]"
ComboBox:ScreenTip style.png,ComboBox,ScreenTip style,ComboBox,False,False,"[740,484]","[1142,517]"
Button:Open.png,Button,Open,Button,False,False,"[1117,485]","[1141,516]"
Text:Personalize your copy of Microsoft Office.png,Text,Personalize your copy of Microsoft Office,Text,False,False,"[584,537]","[1544,574]"
Group:Personalize your copy of Microsoft Office.png,Group,Personalize your copy of Microsoft Office,Group,False,False,"[584,588]","[1544,769]"
Text:User name.png,Text,User name,Text,False,False,"[603,591]","[693,616]"
Edit:User name.png,Edit,User name,Edit Box,False,False,"[770,588]","[1104,620]"
Text:Initials.png,Text,Initials,Text,False,False,"[603,628]","[659,653]"
Edit:Initials.png,Edit,Initials,Edit Box,False,False,"[770,625]","[859,657]"
CheckBox:Always use these values regardless of sign in to Office..png,CheckBox,Always use these values regardless of sign in to Office.,CheckBox,False,False,"[603,662]","[1066,693]"
Group:.png,Group,,Group,False,False,"[603,698]","[1544,731]"
Text:Office Background.png,Text,Office Background,Text,False,False,"[603,702]","[756,727]"
ComboBox:Office Background.png,ComboBox,Office Background,ComboBox,False,False,"[770,698]","[958,731]"
Button:Open.png,Button,Open,Button,False,False,"[933,699]","[957,730]"
Group:.png,Group,,Group,False,False,"[603,736]","[1544,769]"
Text:Office Theme.png,Text,Office Theme,Text,False,False,"[603,740]","[714,765]"
ComboBox:Office Theme.png,ComboBox,Office Theme,ComboBox,False,False,"[770,736]","[961,769]"
Button:Open.png,Button,Open,Button,False,False,"[936,737]","[960,768]"
CheckBox:Disable dark mode.png,CheckBox,Disable dark mode,CheckBox,False,False,"[975,737]","[1157,768]"
Text:Privacy Settings.png,Text,Privacy Settings,Text,False,False,"[584,789]","[1544,826]"
Group:Privacy Settings.png,Group,Privacy Settings,Group,False,False,"[584,840]","[1544,877]"
Button:Privacy Settings....png,Button,Privacy Settings...,Button,False,False,"[603,840]","[765,877]"
Text:LinkedIn Features.png,Text,LinkedIn Features,Text,False,False,"[584,902]","[1544,939]"
Group:LinkedIn Features.png,Group,LinkedIn Features,Group,False,True,"[584,953]","[1544,1046]"
Text:Use LinkedIn features in Office to stay connected with your professional network and keep up to date in your industry..png,Text,Use LinkedIn features in Office to stay connected with your professional network and keep up to date in your industry.,Text,False,False,"[603,953]","[1539,978]"
CheckBox:Enable LinkedIn features in my Office applications.png,CheckBox,Enable LinkedIn features in my Office applications,CheckBox,True,False,"[603,983]","[1027,1014]"
HyperLink:About LinkedIn Features.png,HyperLink,About LinkedIn Features,Hyperlink,True,False,"[603,1019]","[799,1046]"
HyperLink:Manage LinkedIn account associations.png,HyperLink,Manage LinkedIn account associations,Hyperlink,True,False,"[813,1019]","[1120,1046]"
Text:Start up options.png,Text,Start up options,Text,True,False,"[584,1066]","[1544,1103]"
Group:Start up options.png,Group,Start up options,Group,True,False,"[584,1117]","[1544,1262]"
Text:Choose the extensions you want Word to open by default: .png,Text,Choose the extensions you want Word to open by default: ,Text,True,False,"[603,1123]","[1073,1148]"
Button:Default Programs....png,Button,Default Programs...,Button,True,False,"[1087,1117]","[1264,1154]"
CheckBox:Tell me if Microsoft Word isn't the default program for viewing and editing documents..png,CheckBox,Tell me if Microsoft Word isn't the default program for viewing and editing documents.,CheckBox,True,False,"[603,1159]","[1325,1190]"
CheckBox:Open e-mail attachments and other uneditable files in reading view.png,CheckBox,Open e-mail attachments and other uneditable files in reading view,CheckBox,True,False,"[603,1195]","[1165,1226]"
CheckBox:Show the Start screen when this application starts.png,CheckBox,Show the Start screen when this application starts,CheckBox,True,False,"[603,1231]","[1026,1262]"
Text:Co-authoring options.png,Text,Co-authoring options,Text,True,False,"[584,1282]","[1544,1319]"
Group:Co-authoring options.png,Group,Co-authoring options,Group,True,False,"[584,1333]","[1544,1364]"
CheckBox:Allow co-authoring on files with macros.png,CheckBox,Allow co-authoring on files with macros,CheckBox,True,False,"[603,1333]","[950,1364]"
Group:.png,Group,,Group,True,False,"[584,1374]","[1544,1405]"
Group:Real-time collaboration options.png,Group,Real-time collaboration options,Group,True,False,"[603,1374]","[1544,1405]"
Group:.png,Group,,Group,True,False,"[603,1374]","[1544,1405]"
CheckBox:Show names on presence flags.png,CheckBox,Show names on presence flags,CheckBox,True,False,"[603,1374]","[880,1405]"
ScrollBar:.png,ScrollBar,,ScrollBar,False,False,"[1563,68]","[1589,975]"
Button:Line up.png,Button,Line up,Button,False,False,"[1563,68]","[1589,94]"
Button:Page up.png,Button,Page up,Button,True,True,"[11,11]","[11,11]"
Thumb:Position.png,Thumb,Position,Thumb,False,False,"[1563,94]","[1589,663]"
Button:Page down.png,Button,Page down,Button,False,False,"[1563,663]","[1589,949]"
Button:Line down.png,Button,Line down,Button,False,False,"[1563,949]","[1589,975]"
Button:OK.png,Button,OK,Button,False,False,"[1350,981]","[1463,1018]"
Button:Cancel.png,Button,Cancel,Button,False,False,"[1477,981]","[1590,1018]"
Thumb:Size box.png,Thumb,Size box,Thumb,False,False,"[1580,1006]","[1599,1029]"
TitleBar:.png,TitleBar,,title bar,False,False,"[352,22]","[1590,56]"
Button:Context help.png,Button,Context help,button,False,False,"[1523,21]","[1558,56]"
Button:Close.png,Button,Close,button,False,False,"[1556,21]","[1591,56]"
Pane:DropShadowTop.png,Pane,DropShadowTop,pane,False,True,"[11,160]","[1931,169]"
Pane:.png,Pane,,pane,False,True,"[536,160]","[1931,998]"
Pane:MsoDockLeft.png,Pane,MsoDockLeft,pane,False,True,"[11,160]","[536,998]"
ToolBar:.png,ToolBar,,tool bar,False,True,"[11,160]","[536,998]"
Pane:Navigation.png,Pane,Navigation,pane,False,True,"[19,215]","[528,991]"
Pane:.png,Pane,,pane,False,True,"[19,215]","[528,991]"
Pane:.png,Pane,,Pane,False,True,"[19,215]","[528,991]"
Custom:Navigation.png,Custom,Navigation,Custom Control,False,True,"[19,215]","[528,991]"
Edit:Search document.png,Edit,Search document,Edit Box,False,True,"[29,238]","[457,269]"
SplitButton:.png,SplitButton,,SplitButton,False,True,"[457,237]","[511,271]"
Button:.png,Button,,Button,False,True,"[457,237]","[489,271]"
Image:.png,Image,,Image,False,True,"[461,242]","[485,266]"
MenuItem:More Options.png,MenuItem,More Options,Menu Item,False,True,"[489,237]","[511,271]"
Tab:.png,Tab,,Pane,False,True,"[28,289]","[519,334]"
TabItem:Headings.png,TabItem,Headings,Tab Item,False,False,"[28,289]","[125,334]"
TabItem:Pages.png,TabItem,Pages,Tab Item,False,False,"[125,289]","[211,334]"
TabItem:Results.png,TabItem,Results,Tab Item,False,False,"[211,289]","[293,334]"
MenuItem:Task Pane Options.png,MenuItem,Task Pane Options,menu item,False,True,"[419,167]","[467,215]"
Pane:MsoDockTop.png,Pane,MsoDockTop,pane,False,True,"[11,11]","[1931,160]"
ToolBar:.png,ToolBar,,tool bar,False,True,"[11,11]","[1931,160]"
Pane:Ribbon.png,Pane,Ribbon,pane,False,True,"[11,11]","[1931,160]"
Pane:.png,Pane,,pane,False,True,"[11,11]","[1931,160]"
Pane:.png,Pane,,Pane,False,True,"[11,11]","[1931,160]"
Pane:Ribbon.png,Pane,Ribbon,Pane,False,True,"[11,11]","[1931,160]"
TitleBar:Word.png,TitleBar,Word,Title Bar,False,True,"[32,11]","[724,62]"
MenuItem:Type to search and use the up and down arrows keys to navigate.png,MenuItem,Type to search and use the up and down arrows keys to navigate,Menu Item,False,True,"[724,19]","[1242,54]"
Edit:Microsoft search.png,Edit,Microsoft search,Edit Box,False,True,"[776,23]","[1241,51]"
MenuItem:Marko Savic.png,MenuItem,Marko Savic,Menu Item,False,True,"[1468,11]","[1655,62]"
MenuItem:Ribbon Display Options.png,MenuItem,Ribbon Display Options,Menu Item,False,False,"[1655,11]","[1724,62]"
Button:Minimize.png,Button,Minimize,Button,False,False,"[1724,11]","[1793,62]"
Button:Restore Down.png,Button,Restore Down,Button,False,False,"[1793,11]","[1862,62]"
Button:Close.png,Button,Close,Button,False,True,"[1862,11]","[1931,62]"
Button:File Tab.png,Button,File Tab,Button,False,False,"[11,62]","[92,107]"
Tab:Ribbon Tabs.png,Tab,Ribbon Tabs,Pane,False,True,"[93,62]","[1913,107]"
TabItem:Home.png,TabItem,Home,Tab Item,False,False,"[93,66]","[187,104]"
TabItem:Insert.png,TabItem,Insert,Tab Item,False,False,"[188,66]","[279,104]"
TabItem:Design.png,TabItem,Design,Tab Item,False,True,"[280,66]","[381,104]"
TabItem:Layout.png,TabItem,Layout,Tab Item,False,True,"[382,66]","[481,104]"
TabItem:References.png,TabItem,References,Tab Item,False,True,"[482,66]","[619,104]"
TabItem:Mailings.png,TabItem,Mailings,Tab Item,False,True,"[620,66]","[734,104]"
TabItem:Review.png,TabItem,Review,Tab Item,False,True,"[735,66]","[836,104]"
TabItem:View.png,TabItem,View,Tab Item,False,True,"[837,66]","[919,104]"
TabItem:Help.png,TabItem,Help,Tab Item,False,True,"[920,66]","[1001,104]"
Button:Share.png,Button,Share,Button,False,False,"[1639,62]","[1752,107]"
Image:.png,Image,,Image,False,False,"[1663,75]","[1681,93]"
Text:Share.png,Text,Share,Text,False,False,"[1687,70]","[1740,98]"
Button:Comments.png,Button,Comments,Button,False,False,"[1752,62]","[1913,107]"
Image:.png,Image,,Image,False,False,"[1776,75]","[1794,93]"
Text:Comments.png,Text,Comments,Text,False,False,"[1800,70]","[1901,98]"
ToolBar:Quick Access Toolbar.png,ToolBar,Quick Access Toolbar,ToolBar,False,True,"[14,108]","[1928,160]"
Button:AutoSave.png,Button,AutoSave,Toggle Switch,False,False,"[14,112]","[172,156]"
Button:Save.png,Button,Save,Button,False,False,"[173,111]","[215,157]"
SplitButton:Can't Undo.png,SplitButton,Can't Undo,SplitButton,False,False,"[216,111]","[272,157]"
Button:Can't Undo.png,Button,Can't Undo,Button,False,False,"[216,111]","[253,157]"
MenuItem:More Options.png,MenuItem,More Options,Menu Item,False,False,"[253,111]","[272,157]"
Button:Can't Repeat.png,Button,Can't Repeat,Button,False,False,"[273,111]","[315,157]"
MenuItem:Customize Toolbar.png,MenuItem,Customize Toolbar,Menu Item,False,True,"[317,111]","[359,157]"
Pane:MsoDockBottom.png,Pane,MsoDockBottom,pane,False,True,"[11,998]","[1931,1031]"
ToolBar:.png,ToolBar,,tool bar,False,True,"[11,998]","[1931,1031]"
Pane:Status Bar.png,Pane,Status Bar,pane,False,True,"[11,998]","[1931,1031]"
Pane:.png,Pane,,pane,False,True,"[11,998]","[1931,1031]"
Pane:.png,Pane,,Pane,False,True,"[11,998]","[1931,1031]"
StatusBar:Status Bar.png,StatusBar,Status Bar,Status Bar,False,True,"[11,998]","[1931,1031]"
Text:Word Count .png,Text,Word Count ,Text,False,False,"[11,999]","[31,1031]"
Text:Focus .png,Text,Focus ,Text,False,True,"[1455,999]","[1544,1031]"
TabItem:Read Mode.png,TabItem,Read Mode,Tab Item,False,True,"[1548,999]","[1608,1031]"
TabItem:Print Layout.png,TabItem,Print Layout,Tab Item,False,False,"[1608,999]","[1668,1031]"
TabItem:Web Layout.png,TabItem,Web Layout,Tab Item,False,False,"[1668,999]","[1728,1031]"
Button:Zoom Out.png,Button,Zoom Out,Button,False,False,"[1729,999]","[1755,1031]"
Slider:Zoom.png,Slider,Zoom,Slider,False,False,"[1755,999]","[1905,1031]"
Button:Zoom Out.png,Button,Zoom Out,Button,True,True,"[11,11]","[11,11]"
Button:Zoom In.png,Button,Zoom In,Button,False,False,"[1763,999]","[1905,1031]"
Button:Zoom In.png,Button,Zoom In,Button,False,False,"[1905,999]","[1931,1031]"
TitleBar:.png,TitleBar,,title bar,False,True,"[44,11]","[1931,45]"
MenuBar:System.png,MenuBar,System,menu bar,False,False,"[11,11]","[33,33]"
MenuItem:System.png,MenuItem,System,menu item,False,False,"[11,11]","[33,33]"
Button:Minimise.png,Button,Minimise,button,False,True,"[1831,10]","[1866,45]"
Button:Restore.png,Button,Restore,button,False,False,"[1864,10]","[1899,45]"
Button:Close.png,Button,Close,button,False,False,"[1897,10]","[1932,45]"
